Date,Track Name,Artist,Genre,Tempo,Loudness,Productivity
2024-16-12,Don't Stop The Music,Rihanna,"barbadian pop, pop, urban contemporary",124.999603271,0.908742427826,0.0
2024-16-12,Stick Season,Noah Kahan,"pov: indie, singer-songwriter pop",126.910697937,0.908984184265,0.0
2024-16-12,Leben lang,MERO,german hip hop,126.910697937,0.908984184265,0.0
2024-16-12,Le Départ,Adi Oasis,"indie r&b, indie soul",172.265563965,0.00607901858166,0.0
2024-16-12,Jealous,Eyedress,"noise pop, pov: indie",126.910697937,0.908984184265,0.0
2024-16-12,Rauch,MERO,german hip hop,126.910697937,0.908984184265,0.0
2024-16-12,The Bones,Maren Morris,"classic texas country, contemporary country",126.910697937,0.908984184265,0.0
2024-16-12,Ophelia,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler",126.910697937,0.908984184265,0.0
2024-16-12,Aşk Lazım,Gökhan Türkmen,turkish pop,126.910697937,0.932381510735,0.0
2024-16-12,Belong Together,Mark Ambor,singer-songwriter pop,172.265853882,0.908984184265,0.0
2024-16-12,Alive,Empire Of The Sun,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop",110.034057617,0.894582569599,0.0
2024-16-12,Hussle Nipsey,MERO,german hip hop,126.910697937,0.908984184265,0.0
2024-16-12,Dancing Queen,ABBA,"europop, swedish pop",126.910697937,0.908984184265,0.0
2024-17-12,Opendoors,Jitwam,"indie jazz, indie soul, lo-fi house",71.5682601929,0.654343008995,66.66666667
2024-17-12,Before You Leave Me,Alex Warren,"gen z singer-songwriter, singer-songwriter pop",126.910697937,0.908984184265,66.66666667
2024-17-12,Slow It Down,Benson Boone,singer-songwriter pop,172.265853882,0.908984184265,66.66666667
2024-17-12,Candela,Buena Vista Social Club,"latin jazz, musica tradicional cubana, world",130.943763733,0.8252511918545,66.66666667
2024-17-12,Firework,Katy Perry,pop,123.969017029,0.817434966564,66.66666667
2024-17-12,The Kind of Love We Make,Luke Combs,"contemporary country, country",112.980995178,0.771341562271,66.66666667
2024-17-12,Şerefine,Nova Norda,"turkish alt pop, turkish rock",126.910697937,0.908984184265,66.66666667
2024-17-12,As It Was,Harry Styles,pop,125.98135376,0.924481570721,66.66666667
2024-17-12,You Know You Like It,"DJ Snake, AlunaGeorge","dance pop, edm, electronic trap, pop, pop dance",126.910697937,0.908984184265,66.66666667
