Track Name,Artist,Track ID,Genres,Tempo,Loudness,Danceability
Ophelia,The Lumineers,14AyWf6y7KlWWLfAjdKMKI,"folk-pop, modern rock, neo mellow, stomp and holler",,,
"Gone, Gone, Gone",Phillip Phillips,56sxN1yKg1dgOZXBcAHkJG,"folk-pop, neo mellow, pop rock",,,
At Seventeen,Janis Ian,11pLh1SQkrbEPWUc1c7mEY,"folk, singer-songwriter",,,
Midnight City,M83,6GyFP1nfCDB8lbD2bG0Hq9,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop",,,
MTG QUEM NÃO QUER SOU EU,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15",6RjSXi9cPGroetXeNsWFGL,"funk carioca, funk mtg, funk paulista, funk rj",,,
I Want to Be Your Man - Remastered Version,Roger,7lJgjvQRJEXcdu19n3Zn5T,"funk, new jack swing, p funk, post-disco, quiet storm",81.1791305542,0.819850623608,
On & On,"Cartoon, Jéja, Daniel Levi",2uZWffKoemZDI0gHcBEcDc,gaming edm,115.266426086,0.845479249954,
Daylight,David Kushner,1odExI7RdWc4BT515LTAwj,"gen z singer-songwriter, singer-songwriter pop",,,
Before You Leave Me,Alex Warren,7qoxdajngC0j9VXrcnephA,"gen z singer-songwriter, singer-songwriter pop",,,
Daylight,David Kushner,2mEMKgLqH3VZaSYO7iYCzp,"gen z singer-songwriter, singer-songwriter pop",,,
Ma Baby,Jazeek,4495xO2HkmqoYIxQO2FvAH,german hip hop,,,
Leben lang,MERO,1u59aqUTvk0X1TxchtyyNZ,german hip hop,,,
On me,MERO,3I03lVPYaF5Rw5AM888PvP,german hip hop,,,
Superstars,Jazeek,5NtZlpRVomRYn5FYVwAYtO,german hip hop,,,
CARRERA,HoodBlaq,1i1UXHK1roiVBYynK3m46Q,german hip hop,,,
VIEL GESEHEN,"HoodBlaq, Jamal, Safraoui",77Cnw7SBM2zKQ8insiz1jz,german hip hop,,,
Hussle Nipsey,MERO,0J3ZQROQWvEVZEcvz5NaXT,german hip hop,,,
112,Jazeek,151QpsxCSYAPPchzELKWXb,german hip hop,,,
Bullet,"MERO, AYLIVA",36F0lNyztXQRbiKOEoNvV7,german hip hop,,,
Rauch,MERO,6v1b9nidriM4UBfN7KToko,german hip hop,,,
Ascension (Don't Ever Wonder) - Remastered 2021,Maxwell,6l4TNbfPtNAOOlGIfceSaO,german hip hop,,,
Stolen Dance,Milky Chance,34xGLuxM0rkxhCVyMSqwJO,"german pop, modern rock",117.96975708,0.889303147793,
Cornfield Chase,Hans Zimmer,6pWgRkpqVfxnj3WuIcJ7WP,"german soundtrack, orchestral soundtrack, soundtrack",,,
DNA,"LXNGVX, VISXGE",3i6tlvYU1BSAM3yGQNemtM,"gym phonk, krushfunk",,,
Montagem Mysterious Game,LXNGVX,7vOmSP2647oNUGGEhWd1cr,"gym phonk, krushfunk",,,
Mary On A Cross,Ghost,7wdwIaXUuzlu1grzWMFRJm,"hard rock, metal",,,
Just Wanna Rock,Lil Uzi Vert,4Ls53fBNVfaXTROBi6X8Hw,"hip hop, melodic rap, philly rap, rage rap, rap, trap",130.007598877,0.93814343214,
